Wavelength (nm), QE (%)
6.750000000000000000e+02,9.167780980612791097e+01
6.760000000000000000e+02,9.164193217287146354e+01
6.770000000000000000e+02,9.160605453961503031e+01
6.780000000000000000e+02,9.158451612566575761e+01
6.790000000000000000e+02,9.156661618444842077e+01
6.800000000000000000e+02,9.154871624323108392e+01
6.810000000000000000e+02,9.153081630201374708e+01
6.820000000000000000e+02,9.151291636079642444e+01
6.830000000000000000e+02,9.149501641957908760e+01
6.840000000000000000e+02,9.147711647836175075e+01
6.850000000000000000e+02,9.145921653714441391e+01
6.860000000000000000e+02,9.144131659592709127e+01
6.870000000000000000e+02,9.142341665470975443e+01
6.880000000000000000e+02,9.140551671349241758e+01
6.890000000000000000e+02,9.138761677227508073e+01
6.900000000000000000e+02,9.134493732768405039e+01
6.910000000000000000e+02,9.129707703047820644e+01
6.920000000000000000e+02,9.124921673327236249e+01
6.930000000000000000e+02,9.120135643606651854e+01
6.940000000000000000e+02,9.115349613886066038e+01
6.950000000000000000e+02,9.110563584165481643e+01
6.960000000000000000e+02,9.105777554304485477e+01
6.970000000000000000e+02,9.100991524416856748e+01
6.980000000000000000e+02,9.096205494529229441e+01
6.990000000000000000e+02,9.091419464641602133e+01
7.000000000000000000e+02,9.086633434753974825e+01
7.010000000000000000e+02,9.081847404866347517e+01
7.020000000000000000e+02,9.076038125396163991e+01
7.030000000000000000e+02,9.070054025742200565e+01
7.040000000000000000e+02,9.064069926088238560e+01
7.050000000000000000e+02,9.058085826434275134e+01
7.060000000000000000e+02,9.052101726780313129e+01
7.070000000000000000e+02,9.046117627126349703e+01
7.080000000000000000e+02,9.039614172843977258e+01
7.090000000000000000e+02,9.033031112215824976e+01
7.100000000000000000e+02,9.026448051587671273e+01
7.110000000000000000e+02,9.019864990959517570e+01
7.120000000000000000e+02,9.013281930331365288e+01
7.130000000000000000e+02,9.006698869703211585e+01
7.140000000000000000e+02,8.999061937934615685e+01
7.150000000000000000e+02,8.991281102643333156e+01
7.160000000000000000e+02,8.983500267352050628e+01
7.170000000000000000e+02,8.975719432060768099e+01
7.180000000000000000e+02,8.967938596769485571e+01
7.190000000000000000e+02,8.960157761478201621e+01
7.200000000000000000e+02,8.950774398135310150e+01
7.210000000000000000e+02,8.941197270134921382e+01
7.220000000000000000e+02,8.931620142134531193e+01
7.230000000000000000e+02,8.922043014134142425e+01
7.240000000000000000e+02,8.912465886133753656e+01
7.250000000000000000e+02,8.902888758133363467e+01
7.260000000000000000e+02,8.892770635960417280e+01
7.270000000000000000e+02,8.882594842022807313e+01
7.280000000000000000e+02,8.872419048085197346e+01
7.290000000000000000e+02,8.862243254147587379e+01
7.300000000000000000e+02,8.852067460209978833e+01
7.310000000000000000e+02,8.841891666272368866e+01
7.320000000000000000e+02,8.832263624993628071e+01
7.330000000000000000e+02,8.822686496826251812e+01
7.340000000000000000e+02,8.813109368658874132e+01
7.350000000000000000e+02,8.803532240491496452e+01
7.360000000000000000e+02,8.793955112324120194e+01
7.370000000000000000e+02,8.784377984156742514e+01
7.380000000000000000e+02,8.771695354374269016e+01
7.390000000000000000e+02,8.758766330419553015e+01
7.400000000000000000e+02,8.745837306464837013e+01
7.410000000000000000e+02,8.732908282510119591e+01
7.420000000000000000e+02,8.719979258555403590e+01
7.430000000000000000e+02,8.707050234413379997e+01
7.440000000000000000e+02,8.694121210258323629e+01
7.450000000000000000e+02,8.681192186103268682e+01
7.460000000000000000e+02,8.668263161948212314e+01
7.470000000000000000e+02,8.655334137793157367e+01
7.480000000000000000e+02,8.641050308226532195e+01
7.490000000000000000e+02,8.626685228807133399e+01
7.500000000000000000e+02,8.612320149387734602e+01
7.510000000000000000e+02,8.597955069968334385e+01
7.520000000000000000e+02,8.583589990548935589e+01
7.530000000000000000e+02,8.569224911129536792e+01
7.540000000000000000e+02,8.551439647135070743e+01
7.550000000000000000e+02,8.533485667506197103e+01
7.560000000000000000e+02,8.515531687877323463e+01
7.570000000000000000e+02,8.497577708248448403e+01
7.580000000000000000e+02,8.479623728619574763e+01
7.590000000000000000e+02,8.461669748990701123e+01
7.600000000000000000e+02,8.443715769361827483e+01
7.610000000000000000e+02,8.425761789732953844e+01
7.620000000000000000e+02,8.408795896265255010e+01
7.630000000000000000e+02,8.391867136464784949e+01
7.640000000000000000e+02,8.374938376664316309e+01
7.650000000000000000e+02,8.358009616863846247e+01
7.660000000000000000e+02,8.341440213868150977e+01
7.670000000000000000e+02,8.325694578995124573e+01
7.680000000000000000e+02,8.309948944122096748e+01
7.690000000000000000e+02,8.294203309249070344e+01
7.700000000000000000e+02,8.278457674376043940e+01
7.710000000000000000e+02,8.253547869659915648e+01
7.720000000000000000e+02,8.228421389941895825e+01
7.730000000000000000e+02,8.203294910223874581e+01
7.740000000000000000e+02,8.183436735163094511e+01
7.750000000000000000e+02,8.163688967856235479e+01
7.760000000000000000e+02,8.143941200549376447e+01
7.770000000000000000e+02,8.124193433242518836e+01
7.780000000000000000e+02,8.107220630467034539e+01
7.790000000000000000e+02,8.090291870451974887e+01
7.800000000000000000e+02,8.073363110436915235e+01
7.810000000000000000e+02,8.056434350421855584e+01
7.820000000000000000e+02,8.037311878596270276e+01
7.830000000000000000e+02,8.013619333908330589e+01
7.840000000000000000e+02,7.989926789220389480e+01
7.850000000000000000e+02,7.966234244532449793e+01
7.860000000000000000e+02,7.946463530704416200e+01
7.870000000000000000e+02,7.926715763647864321e+01
7.880000000000000000e+02,7.906967996591311021e+01
7.890000000000000000e+02,7.887220229534759142e+01
7.900000000000000000e+02,7.826374492351685319e+01
7.910000000000000000e+02,7.809614074099977188e+01
7.920000000000000000e+02,7.792964944655183501e+01
7.930000000000000000e+02,7.776315815210389815e+01
7.940000000000000000e+02,7.757299458462681230e+01
7.950000000000000000e+02,7.733606913063285049e+01
7.960000000000000000e+02,7.709914367663887447e+01
7.970000000000000000e+02,7.686202653955245978e+01
7.980000000000000000e+02,7.659284152339010632e+01
7.990000000000000000e+02,7.632365650722773864e+01
8.000000000000000000e+02,7.605495809298416532e+01
8.010000000000000000e+02,7.584552428863649709e+01
8.020000000000000000e+02,7.563609048428882886e+01
8.030000000000000000e+02,7.542203347197509800e+01
8.040000000000000000e+02,7.481792912150298491e+01
8.050000000000000000e+02,7.468325334070861743e+01
8.060000000000000000e+02,7.454857755991426416e+01
8.070000000000000000e+02,7.441390177911989667e+01
8.080000000000000000e+02,7.374158395683461720e+01
8.090000000000000000e+02,7.360690817266777231e+01
8.100000000000000000e+02,7.347223238850092741e+01
8.110000000000000000e+02,7.333755660433408252e+01
8.120000000000000000e+02,7.266566551384799766e+01
8.130000000000000000e+02,7.255792140671107404e+01
8.140000000000000000e+02,7.245017729957413621e+01
8.150000000000000000e+02,7.233210758607390289e+01
8.160000000000000000e+02,7.174690038563461769e+01
8.170000000000000000e+02,7.144700525621419729e+01
8.180000000000000000e+02,7.114711012679379110e+01
8.190000000000000000e+02,7.094233265820095369e+01
8.200000000000000000e+02,7.078073515081946709e+01
8.210000000000000000e+02,7.060838845456657964e+01
8.220000000000000000e+02,7.002370618291787707e+01
8.230000000000000000e+02,6.970078696010963881e+01
8.240000000000000000e+02,6.937917262401194307e+01
8.250000000000000000e+02,6.910998760220594761e+01
8.260000000000000000e+02,6.884011056838851061e+01
8.270000000000000000e+02,6.854405348521844132e+01
8.280000000000000000e+02,6.824727512136453811e+01
8.290000000000000000e+02,6.792435589855628564e+01
8.300000000000000000e+02,6.760217757116625137e+01
8.310000000000000000e+02,6.730612048799619629e+01
8.320000000000000000e+02,6.700929298476701490e+01
8.330000000000000000e+02,6.668637374580688970e+01
8.340000000000000000e+02,6.636345450732181916e+01
8.350000000000000000e+02,6.604053528451358090e+01
8.360000000000000000e+02,6.571761606136927014e+01
8.370000000000000000e+02,6.539469682741099632e+01
8.380000000000000000e+02,6.507177759379693782e+01
8.390000000000000000e+02,6.474885837098868535e+01
8.400000000000000000e+02,6.442593914818043288e+01
8.410000000000000000e+02,6.410301992537219462e+01
8.420000000000000000e+02,6.378010070204172166e+01
8.430000000000000000e+02,6.345718146308161778e+01
8.440000000000000000e+02,6.313426222465552229e+01
8.450000000000000000e+02,6.281134300184726982e+01
8.460000000000000000e+02,6.248751638257525087e+01
8.470000000000000000e+02,6.213774491387086130e+01
8.480000000000000000e+02,6.178889054603190800e+01
8.490000000000000000e+02,6.146597132322365553e+01
8.500000000000000000e+02,6.114305209985196399e+01
8.510000000000000000e+02,6.082013286089186010e+01
8.520000000000000000e+02,6.049721362250699030e+01
8.530000000000000000e+02,6.017429439969873783e+01
8.540000000000000000e+02,5.984942368515231692e+01
8.550000000000000000e+02,5.947280988745406205e+01
8.560000000000000000e+02,5.909717145409599226e+01
8.570000000000000000e+02,5.874739998539158847e+01
8.580000000000000000e+02,5.839762851668717758e+01
8.590000000000000000e+02,5.804785704798278800e+01
8.600000000000000000e+02,5.769908071277041017e+01
8.610000000000000000e+02,5.737616148996215770e+01
8.620000000000000000e+02,5.705121315990773212e+01
8.630000000000000000e+02,5.667459936220947725e+01
8.640000000000000000e+02,5.629798556470013438e+01
8.650000000000000000e+02,5.592137177200186215e+01
8.660000000000000000e+02,5.554678628033214238e+01
8.670000000000000000e+02,5.522386704137203850e+01
8.680000000000000000e+02,5.489888028825079402e+01
8.690000000000000000e+02,5.452226649555250049e+01
8.700000000000000000e+02,5.414565270266172092e+01
8.710000000000000000e+02,5.376903890496346605e+01
8.720000000000000000e+02,5.339449181682218892e+01
8.730000000000000000e+02,5.307157259401393645e+01
8.740000000000000000e+02,5.274654745406623135e+01
8.750000000000000000e+02,5.236993366136795913e+01
8.760000000000000000e+02,5.199331986847362685e+01
8.770000000000000000e+02,5.161670607077535067e+01
8.780000000000000000e+02,5.124219738436078586e+01
